1,1,HOW TO BUILD A GIRL
2,2,Snowroller
3,3,The Closet
4,1,5 Minute
5,1,All of Us
6,1,The Loop
7,1,Betty
8,4,12 Golden Ducks
9,5,Ghost Buddies
10,6,Blippi
11,7,Azizs Dream
12,1,Full Out 2: You Got This!
13,8,My Giraffe
14,8,De Piraten van Hiernaast
15,1,Paw Patrol: Jet to the Rescue
16,1,Bookmarks
17,9,Luccas Neto em: O Hotel Magico
18,1,The Dog Who Saved Summer
19,1,Nureyev
20,10,Jan Palach
21,3,Sagan
22,1,Wish Man
23,11,Tee Shot: Ariya Jutanugarn
24,12,Mallesham
25,9,Kardec
26,13,Maria Magdalena
27,14,Instynkt
28,1,Magic hour
29,14,Paradoks
30,14,Prokurator
31,13,Al acecho
32,2,Pyromanen
33,1,The Gulf
34,15,Miss Hanoi
35,16,The State-Mafia Pact
36,1,The Swiss Family Robinson
37,17,Million Joe
38,1,Tatu
39,3,The Cell
40,1,The Treasure
41,8,Spangas In Actie
42,1,Kibaoh Klashers
43,18,Gonjiam: Haunted Asylum
44,17,The Woman Who Keeps a Murderer
45,5,The Rope Curse 2
46,17,Pray
47,13,Sweet Home
48,19,Silam
49,1,The Crooked Man
50,1,Superstition
51,20,Its Me
52,11,Sri Ayodhaya
53,21,Peasants Rebellion
54,1,Evil Genius
55,1,The Royal House of Windsor
56,22,Filinta
57,13,La Esclava Blanca
58,23,Raja Rasoi Aur Anya Kahaniyan
59,24,Sparta
60,23,Penalty
61,1,Lady Driver
62,1,Bennetts War
63,17,Waiting for Spring
64,1,No Mercy
65,1,Cricket Fever: Mumbai Indians
66,1,For the Win
67,1,Selection Day
68,2,A Guest Is Coming
69,1,Blood Orange
70,10,Vaterland: A Hunting Logbook
71,1,The Dig
72,1,Cheat
73,1,The Unbroken
74,6,Locked
75,1,Last Moment of Clarity
76,1,The Ripper
77,17,Emergency Interrogation Room
78,1,The Grooms Price
79,17,Hozukis Coolheadedness
80,3,Diamant Noir
81,21,The CEO
82,1,Til Death Do Us Part
83,17,Non-Core
84,1,Zoe
85,1,Outside In
86,1,Love Daily
87,25,Gaya Sa Pelikula
88,17,Rose and Tulip
89,22,Immortal Love
90,1,Romance on the Menu
91,1,Hometown Holiday
92,1,Christmas with a Prince
93,1,Walk Away from Love
94,1,A Wedding for Christmas
95,22,ANNE+
96,14,Gleboka woda
97,2,Only a Mother
98,2,The Simple Minded Murderer
99,2,1939
100,17,Repast
101,17,When a Woman Ascends the Stairs
102,17,Yearning
103,17,Ginza Cosmetics
